,SNO,State,District,No. of Applications Received,No. of Applications Not Verified,No. of Applications Verified,No. of Applications Approved,No. of Applications Approved having Aadhar No.,No. of Applications Rejected,No. of Applications Pullback,No. of Applications Closed,No. of Constructed Toilet Photo Uploaded,No. of Constructed Toilet Photo Approved,No. of Commenced Toilet Photo ,No. of Constructed Toilet Photo through Swachhalaya
0,1,Andaman & Nicobar Islands,South Andaman,169,162,4,0,0,0,0,3,3,0,0,61
1,1,Andhra Pradesh,Anantapur,52526,4119,21058,21058,21040,0,3,27346,21073,0,3,9
2,2,Andhra Pradesh,Chittoor,17118,279,6954,6954,6945,0,2,9883,6965,0,4,7
3,3,Andhra Pradesh,East Godavari,24691,597,13989,13989,13972,0,2,10103,13999,0,3,11
4,4,Andhra Pradesh,Guntur,45788,1633,25198,25198,25182,0,4,18953,25211,0,7,8
5,5,Andhra Pradesh,Krishna,24535,414,14281,14281,14264,0,2,9838,14288,0,2,9
6,6,Andhra Pradesh,Kurnool,43836,315,22262,22262,22246,0,5,21254,22277,0,0,10
7,7,Andhra Pradesh,Nellore,34365,5258,19678,19672,19647,0,4,9425,19685,0,8,2
8,8,Andhra Pradesh,Prakasam,31048,454,14969,14969,14954,0,2,15623,14975,0,5,19
9,9,Andhra Pradesh,Srikakulam,17708,542,8493,8493,8490,0,6,8667,8505,0,2,6
10,10,Andhra Pradesh,Visakhapatnam,34864,298,16642,16642,16622,0,6,17918,16656,0,48,12
11,11,Andhra Pradesh,Vizianagaram,23176,662,9966,9966,9960,0,4,12544,9971,0,1,2
12,12,Andhra Pradesh,West Godavari,14969,139,7282,7282,7279,0,1,7547,7288,0,6,4
13,13,Andhra Pradesh,Y.S.R.,24167,1485,11742,11742,11733,0,7,10933,12062,0,2,6
14,1,Arunachal Pradesh,Anjaw,0,0,0,0,0,0,0,0,0,0,0,0
15,2,Arunachal Pradesh,Changlang,134,1,132,132,132,1,0,0,132,132,1,0
16,3,Arunachal Pradesh,Dibang Valley,0,0,0,0,0,0,0,0,0,0,0,0
17,4,Arunachal Pradesh,East Kameng,559,404,152,151,151,3,0,0,554,0,0,0
18,5,Arunachal Pradesh,East Siang,86,0,85,72,72,0,0,1,83,71,0,0
19,6,Arunachal Pradesh,Karung Kumey,242,0,241,5,5,1,0,0,235,1,0,0
20,7,Arunachal Pradesh,Kra Dadi,166,0,166,118,118,0,0,0,166,24,0,0
21,8,Arunachal Pradesh,Lohit,388,44,334,325,325,8,2,0,325,276,39,1
22,9,Arunachal Pradesh,Lower Dibang Valley,684,9,653,526,405,21,0,1,525,402,1,0
23,10,Arunachal Pradesh,Lower Subansari,308,300,8,0,0,0,0,0,249,0,0,0
24,11,Arunachal Pradesh,Papum Pare,619,0,600,600,595,19,0,0,600,1,1,0
25,12,Arunachal Pradesh,Siang,0,0,0,0,0,0,0,0,0,0,0,0
26,13,Arunachal Pradesh,Tawang,104,12,92,92,91,0,0,0,92,92,0,0
27,14,Arunachal Pradesh,Tirap,398,242,154,54,54,2,0,0,398,54,0,0
28,15,Arunachal Pradesh,Upper Siang,209,1,207,207,207,1,0,0,208,0,0,0
29,16,Arunachal Pradesh,Upper Subansari,198,86,111,111,111,0,1,0,197,111,0,0
30,17,Arunachal Pradesh,West Kameng,15,15,0,0,0,0,0,0,14,0,0,0
31,18,Arunachal Pradesh,West Siang,210,0,210,0,0,0,0,0,206,0,0,0
32,1,Assam,Baksa,1558,1358,197,196,0,1,2,0,89,0,3,0
33,2,Assam,Barpeta Road,27316,24134,3082,2703,5,36,42,22,3719,0,342,22
34,3,Assam,Bongaigaon,2129,914,1187,734,0,16,1,11,964,0,3,1
35,4,Assam,Cachar,5292,2652,2584,2233,3,48,3,5,2855,0,28,1
36,5,Assam,Chairang,987,66,838,263,0,54,4,25,668,0,3,1
37,6,Assam,Darrang,2248,1763,436,284,0,13,2,34,1055,56,105,0
38,7,Assam,Dhemaji,4367,2687,1615,270,0,56,4,5,2243,0,58,3
39,8,Assam,Dhubri,17412,9696,6847,5060,3,33,12,824,5711,0,147,4
40,9,Assam,Dibrugarh,3249,1582,1581,826,0,82,1,3,507,0,11,0
41,10,Assam,Dima Hassao,4374,1887,1707,934,0,75,0,705,1086,68,432,1
42,11,Assam,Goalpara,4890,2897,1946,311,0,1,3,43,2902,0,0,4
43,12,Assam,Golaghat,66621,42433,1862,891,82,6219,1,16106,1483,145,39,0
44,13,Assam,Hailakandi,2578,1470,1053,570,13,27,8,20,1252,4,47,10
45,14,Assam,Jorhat,6705,4261,1935,762,0,12,4,493,889,0,25,2
46,15,Assam,Kamrup,1426,309,842,831,0,216,4,55,785,1,2,3
47,16,Assam,Kamrup Metropolitian,11973,3377,8581,7074,1,9,4,2,2495,0,85,27
48,17,Assam,Karbi Anlong,73684,29260,3509,2562,0,8736,11,32168,2588,0,125,14
49,18,Assam,Karimganj,1217,668,480,468,0,12,3,54,524,0,3,1
50,19,Assam,Kokrajhar,552,79,437,435,0,23,1,12,473,0,0,0
51,20,Assam,Majuli,0,0,0,0,0,0,0,0,0,0,0,0
52,21,Assam,Marigaon,4961,1107,1111,0,0,2,6,2735,1020,0,33,9
53,22,Assam,Nagaon,60914,17661,6697,5513,1040,3281,28,33247,5604,1353,45,14
54,23,Assam,Nalbari,1509,1113,271,117,0,0,0,125,1228,0,2,0
55,24,Assam,North Lakhimpur,4894,3401,1458,995,1,12,4,19,1858,1,128,7
56,25,Assam,Sibsagar,3911,1355,2430,1917,1,114,2,10,2453,191,24,0
57,26,Assam,Sonitpur,3098,1423,1210,1175,45,13,3,449,1089,0,90,18
58,27,Assam,Tinsukia,2703,1740,891,606,0,30,5,37,1332,0,19,1
59,28,Assam,Udalguri,1786,905,216,216,0,0,1,664,518,4,97,1
60,1,Bihar,Araria,6677,963,5601,3584,744,100,10,3,3028,1147,1471,126
61,2,Bihar,Arwal,5051,578,3688,873,258,24,6,755,1153,0,765,25
62,3,Bihar,Aurangabad,5423,1153,3799,2904,1223,291,20,160,2298,996,777,71
63,4,Bihar,Banka,3172,1136,1945,1833,948,76,10,5,1085,0,294,48
