,SNO,State,District,ulb,No. of Applications Received,No. of Applications Not Verified,No. of Applications Verified,No. of Applications Approved,No. of Applications Approved having Aadhar No.,No. of Applications Rejected,No. of Applications Pullback,No. of Applications Closed,No. of Constructed Toilet Photo Uploaded,No. of Constructed Toilet Photo Approved,No. of Commenced Toilet Photo ,No. of Constructed Toilet Photo through Swachhalaya
0,1,Andaman & Nicobar Islands,South Andaman,Port Blair (M Cl),169,162,4,0,0,0,0,3,3,0,0,61
0,1,Andhra Pradesh,Anantapur ,Anantapur (M Corp.),3613,34,649,649,649,0,1,2929,654,0,0,2
2,2,Andhra Pradesh,Anantapur ,Dharmavaram (M),6925,143,3360,3360,3358,0,1,3421,3363,0,2,0
4,3,Andhra Pradesh,Anantapur ,Gooty,2158,52,982,982,978,0,0,1124,983,0,0,0
6,4,Andhra Pradesh,Anantapur ,Guntakal (M),5873,64,2552,2552,2552,0,0,3257,2552,0,0,0
8,5,Andhra Pradesh,Anantapur ,Hindupur (M),5234,17,1510,1510,1506,0,0,3707,1510,0,0,0
10,6,Andhra Pradesh,Anantapur ,Kadiri (M),3684,32,1151,1151,1151,0,0,2501,1151,0,1,0
12,7,Andhra Pradesh,Anantapur ,Kalyandurg,5921,58,3165,3165,3164,0,0,2698,3165,0,0,1
14,8,Andhra Pradesh,Anantapur ,MADAKASIRA,3784,77,1240,1240,1239,0,0,2467,1240,0,0,0
16,9,Andhra Pradesh,Anantapur ,PAMIDI NAGARA,2257,16,839,839,838,0,0,1402,839,0,0,0
18,10,Andhra Pradesh,Anantapur ,PUTTAPARTHI,3783,13,2371,2371,2369,0,0,1399,2377,0,0,2
20,11,Andhra Pradesh,Anantapur ,Rayadurg (M),2794,9,1730,1730,1729,0,1,1054,1730,0,0,2
22,12,Andhra Pradesh,Anantapur ,Tadpatri (M),6500,3604,1509,1509,1507,0,0,1387,1509,0,0,2
0,1,Andhra Pradesh,Chittoor ,Chittoor (M),4217,62,1778,1778,1777,0,2,2375,1783,0,2,2
2,2,Andhra Pradesh,Chittoor ,Madanapalle (M),3883,25,687,687,687,0,0,3171,689,0,0,2
4,3,Andhra Pradesh,Chittoor ,Nagari (M),2383,60,1247,1247,1244,0,0,1076,1249,0,0,1
6,4,Andhra Pradesh,Chittoor ,Palamaner (M),405,10,235,235,235,0,0,160,235,0,0,0
8,5,Andhra Pradesh,Chittoor ,Punganur (M),1103,30,551,551,551,0,0,522,552,0,1,0
10,6,Andhra Pradesh,Chittoor ,Puttur (M),2190,43,1206,1206,1206,0,0,941,1206,0,0,0
12,7,Andhra Pradesh,Chittoor ,Srikalahasti (M),1626,43,727,727,727,0,0,856,728,0,1,1
14,8,Andhra Pradesh,Chittoor ,Tirupati (M Corp.),1311,6,523,523,518,0,0,782,523,0,0,1
0,1,Andhra Pradesh,East Godavari,Amalapuram (M),528,15,236,236,236,0,1,276,239,0,1,1
